Sexe du membre;Nombre de 2rm conduits par le membre;Département d habitation en France;Tranche_âge;Année de mise en circulation du 2rm 1;Cylindrée du 2rm 1;Segment du 2rm 1;Aviez-vous l’intention de changer de 2-roues motorisé en 2020 ?
Homme;1;1;50-59 ans;2008;1000;Roadster;False
Homme;1;6;40-49 ans;2014;1300;Roadster;False
Homme;1;93;60-69 ans;2015;1000;Roadster;False
Homme;2;30;40-49 ans;2012;1250;Roadster;False
Homme;2;74;Moins de 30 ans;2017;1100;Roadster;False
Homme;1;63;60-69 ans;2007;650;Roadster;False
Homme;2;1;40-49 ans;1993;1100;Custom;False
Homme;8;33;60-69 ans;2014;800;Routière / GT;True
Homme;1;95;50-59 ans;2007;1400;Routière / GT;False
Femme;2;13;50-59 ans;2012;125;Custom;True
Homme;1;33;30-39 ans;2012;800;Roadster;True
Homme;2;6;50-59 ans;2019;650;Routière / GT;True
Homme;1;94;50-59 ans;2006;400;Scooter;True
Homme;1;69;40-49 ans;2018;1200;Trail / Supermotard;False
Homme;1;6;60-69 ans;2011;1200;Roadster;False
Homme;5;92;70 et plus;1979;500;Roadster;False
Homme;1;78;70 et plus;1991;1100;Roadster;False
Homme;1;33;40-49 ans;2007;650;Roadster;True
Homme;3;32;60-69 ans;2015;125;Scooter;False
Homme;1;25;40-49 ans;2016;1000;Roadster;False
Homme;1;77;50-59 ans;2010;750;Sportive;False
Homme;3;38;50-59 ans;2000;1300;Roadster;False
Homme;1;95;50-59 ans;1996;600;Scooter;False
Homme;1;84;60-69 ans;2011;1300;Roadster;False
Homme;1;83;70 et plus;2012;1300;Routière / GT;False
Homme;2;85;40-49 ans;2009;1200;Routière / GT;False
Homme;1;67;40-49 ans;2008;600;Sportive;False
Homme;1;30;60-69 ans;2009;650;Roadster;False
Homme;1;69;30-39 ans;2012;600;Roadster;False
Homme;9;10;40-49 ans;2003;1200;Roadster;False
Homme;1;31;40-49 ans;2019;900;Trail / Supermotard;False
Homme;1;71;60-69 ans;2018;1745;Custom;False
Homme;3;31;60-69 ans;2009;800;Roadster;False
Homme;1;44;40-49 ans;2018;883;Roadster;False
Homme;1;59;60-69 ans;2004;1200;Trail / Supermotard;False
Homme;1;59;50-59 ans;2005;650;Routière / GT;False
Homme;5;34;50-59 ans;1999;1000;Roadster;False
Homme;2;53;60-69 ans;2014;800;Roadster;False
Homme;1;94;60-69 ans;2017;1200;Routière / GT;False
Homme;1;22;50-59 ans;2011;1200;Trail / Supermotard;False
Homme;2;79;40-49 ans;2000;900;Routière / GT;False
Homme;2;40;40-49 ans;2014;1000;Sportive;True
Homme;1;95;40-49 ans;2017;1200;Routière / GT;False
Homme;3;40;40-49 ans;2017;1200;Roadster;False
Homme;3;59;60-69 ans;2011;2300;Custom;False
Homme;3;45;40-49 ans;1993;50;Roadster;False
Homme;1;29;50-59 ans;2016;750;Roadster;False
Homme;2;63;50-59 ans;2011;1600;Routière / GT;False
Homme;2;69;60-69 ans;2016;1200;Trail / Supermotard;True
Homme;1;85;60-69 ans;2002;1300;Routière / GT;False
Homme;2;31;50-59 ans;1991;750;Routière / GT;False
Homme;1;31;60-69 ans;2015;850;Roadster;False
Homme;2;60;60-69 ans;2013;800;Routière / GT;False
Homme;1;14;30-39 ans;2011;800;Roadster;False
Homme;2;54;60-69 ans;2018;1200;Trail / Supermotard;True
Homme;1;59;50-59 ans;2010;1300;Routière / GT;False
Homme;1;31;50-59 ans;2019;1000;Roadster;False
Homme;1;33;70 et plus;2010;1200;Roadster;False
Homme;1;44;60-69 ans;2008;1200;Trail / Supermotard;False
Homme;2;76;60-69 ans;2007;1200;Routière / GT;False
Homme;1;78;30-39 ans;2018;500;Roadster;True
Homme;1;31;30-39 ans;2011;600;Sportive;False
Homme;1;93;60-69 ans;2005;1150;Trail / Supermotard;True
Homme;2;63;60-69 ans;2011;1400;Routière / GT;False
Homme;1;84;40-49 ans;2000;1000;Sportive;False
Homme;1;94;60-69 ans;2016;1200;Routière / GT;False
Homme;1;75;60-69 ans;2008;675;Roadster;False
Homme;1;87;60-69 ans;2018;1290;Trail / Supermotard;False
Homme;1;33;50-59 ans;2016;1200;Trail / Supermotard;True
Homme;1;92;50-59 ans;2005;999;Sportive;False
Homme;1;78;50-59 ans;2011;1200;Routière / GT;False
Homme;2;18;Moins de 30 ans;2017;250;Roadster;False
Homme;1;6;50-59 ans;2003;650;Trail / Supermotard;False
Homme;3;68;40-49 ans;2017;1200;Roadster;False
Homme;2;69;60-69 ans;2013;1800;Routière / GT;False
Homme;1;33;50-59 ans;2015;650;Roadster;False
Homme;1;75;60-69 ans;2019;1250;Routière / GT;False
Homme;2;6;50-59 ans;2005;1200;Trail / Supermotard;False
Homme;3;74;60-69 ans;2015;800;Roadster;False
Homme;1;33;40-49 ans;2019;650;Roadster;True
Homme;1;30;60-69 ans;2017;1200;Routière / GT;False
Homme;1;13;40-49 ans;2015;1000;Roadster;False
Homme;3;92;60-69 ans;2004;125;Scooter;True
Homme;2;91;50-59 ans;2018;1050;Routière / GT;False
Homme;1;69;50-59 ans;2001;1100;Roadster;False
Homme;1;44;60-69 ans;2015;1300;Custom;True
Homme;1;71;40-49 ans;2004;800;Routière / GT;True
Homme;1;94;50-59 ans;1997;750;Roadster;False
Homme;1;32;60-69 ans;2017;1200;Trail / Supermotard;False
Homme;1;26;30-39 ans;2006;1000;Sportive;False
Homme;3;6;70 et plus;2017;900;Roadster;False
Homme;1;86;30-39 ans;2016;1800;Custom;True
