Répondant;Trois premiers mots;Liberté;Plaisir / bonheur / heureux / enfin;Balade / promenade / gaz / rouler / moto;Sécurité / danger;Social / amis / famille / enfant;Trois premiers mots;;;Quels ont été, pour vous, les inconvénients du confinement ?;Aucun;Liberté / contrainte / bloqué / isolement / bouger / mobilité / moto / sortir / déplacement / enfermement;Financier / Argent / Revenu;Social / ami / famille;Inconvénients;;;Quels ont été, pour vous, les avantages du confinement ?;Aucun;Circulation;Temps / Libre / repos / calme / stress;Pollution / nature;Epidémie / virus / contamination;Economie / carburant / coût;Avantages;
103184392;Prudence Prudence Prudence;;;;;;;;;Privation de liberté;;Privation de liberté;;;;;;Repos;;;Repos;;;;;
103184393;balade piste bricolage;;;balade piste bricolage;;;;;;Coincé à la maison;;;;;;;;Temps pour profiter de ma famille;;;Temps pour profiter de ma famille;;;;;
103184422;Liberté Promenade Plaisir;Liberté Promenade Plaisir;Liberté Promenade Plaisir;Liberté Promenade Plaisir;;;;;;Isolement;;Isolement;;;;;;Aucun avantage;Aucun avantage;;;;;;;
103184468;Balade Ami Liberté;Balade Ami Liberté;;Balade Ami Liberté;;Balade Ami Liberté;;;;Pas de balade moto;;Pas de balade moto;;;;;;S'occuper de sa maison correctement au lieu de rouler;;;;;;;;
103184503;Liberté  ;Liberté  ;;;;;;;;Aucun inconvénient;Aucun inconvénient;;;;;;;Aucun avantage;Aucun avantage;;;;;;;
103184526;Balade  ;;;Balade  ;;;;;;Le bourrage de crâne télévisuel;;;;;;;;Une pause pour la nature;;;;Une pause pour la nature;;;;
103184418;Liberte Ballade Reprise;Liberte Ballade Reprise;;Liberte Ballade Reprise;;;;;;Aucun inconvénient;Aucun inconvénient;;;;;;;Faire des économies et faire des choses differentes;;;;;;Faire des économies et faire des choses differentes;;
103184477;enfin balade en duo Morvan;;enfin balade en duo Morvan;enfin balade en duo Morvan;;;;;;ne plus voir ma famille et amis;;;;ne plus voir ma famille et amis;;;;Aucun avantage;Aucun avantage;;;;;;;
103184453;on n'est pas sorti de confinement les bars et les resto sont fermes ca pourri quand meme bien une belle ballade;;;on n'est pas sorti de confinement les bars et les resto sont fermes ca pourri quand meme bien une belle ballade;;;;;;les plus gros problemes sont pour demain;;;;;;;;du temps pour faire des travaux dans la maison;;;du temps pour faire des travaux dans la maison;;;;;
103184240;Ballades Amis Beau temps;;;Ballades Amis Beau temps;;Ballades Amis Beau temps;;;;La solitude pas de visite en famille ou entre amis;;;;La solitude pas de visite en famille ou entre amis;;;;Faire un nettoyage de printemps;;;Faire un nettoyage de printemps;;;;;
103184475;passion entretien plaisir;;passion entretien plaisir;;;;;;;Aucun inconvénient;Aucun inconvénient;;;;;;;Aucun avantage;Aucun avantage;;;;;;;
103183694;frustration manque ennui;;;;;;;;;le manque de contacts humains;;;;;;;;beaucoup de temps libre à s'occuper sans être distrait.;;;beaucoup de temps libre à s'occuper sans être distrait.;;;;;
103183877;balade liberté enfin;balade liberté enfin;balade liberté enfin;balade liberté enfin;;;;;;peu de contact. un éloignement des gens en général, la peur de l'autre;;;;;;;;je n'ai plus peur de la retraite;;;;;;;;
103184686;Balade Potes Barbecue;;;Balade Potes Barbecue;;;;;;Aucun inconvénient;Aucun inconvénient;;;;;;;Moins de frais de déplacement;;;;;;;;
103184717;Balade Foret Campagne;;;Balade Foret Campagne;;;;;;Pas de sport;;;;;;;;Pas de déplacement domicile -travail;;;;;;;;
103184488;Gaaaaz  ;;;;;;;;;Aucun inconvénient;Aucun inconvénient;;;;;;;Silence, retour de la nature,;;;;Silence, retour de la nature,;;;;
103184569;enfin montagne bizarre;;enfin montagne bizarre;;;;;;;pas de moto;;pas de moto;;;;;;moins de perte de temps en trajets;;;moins de perte de temps en trajets;;;;;
103184732;gaz Gaz Gaz;;;gaz Gaz Gaz;;;;;;Aucun inconvénient;Aucun inconvénient;;;;;;;Aucun avantage;Aucun avantage;;;;;;;
103184700;virée copains plaisirs;;virée copains plaisirs;;;virée copains plaisirs;;;;manque de virée moto du weekend;;manque de virée moto du weekend;;;;;;plus de déplacements prof en voiture;;;;;;;;
103184777;Enfin ! balade copains;;Enfin ! balade copains;Enfin ! balade copains;;Enfin ! balade copains;;;;Ne pas pouvoir se déplacer sans risquer une amende.;;;;;;;;J'ai dépensé moins.;;;;;;;;
103184803;enfin liberté respirer;enfin liberté respirer;enfin liberté respirer;;;;;;;Aucun inconvénient;Aucun inconvénient;;;;;;;Aucun avantage;Aucun avantage;;;;;;;
103184786;Accidents Bruit ballade;;;Accidents Bruit ballade;;;;;;hausse des prix dans les supermarchés;;;;;;;;Moins de monde sur les routes;;;;;;;;
103183251;Balade Amis ;;;Balade Amis ;;Balade Amis ;;;;Travail identique, pas de cantine d’entreprise, des trajets multipliés,...;;;;;;;;Aucun avantage;Aucun avantage;;;;;;;
103184822;liberté joie soleil;liberté joie soleil;;;;;;;;Etre éloigné de mon conjoint;;;;;;;;Eviter de tomber malade;;;;;;;;
103184765;liberte envie vraoum;liberte envie vraoum;;;;;;;;Coupé du monde;;;;;;;;Aucun avantage;Aucun avantage;;;;;;;
103184701;Liberté Plaisir Amis;Liberté Plaisir Amis;Liberté Plaisir Amis;;;Liberté Plaisir Amis;;;;L’isolement;;L’isolement;;;;;;Les gens ont fait preuve de créativité  Le télétravail;;;;;;;;
103184826;bah ok bon;;;;;;;;;Maux de tetes, fatigue mental, stress, difficulte' avec le sommeil, manuqe de contacte humain, constater que la plus part des gens s'est fait prendre par une hysterie non justifiee'.;;;;;;;;Aucun. Ok, peut etre j'ai depense' moins d'argent en essence, mias c'est vraiment etirer les choses.;Aucun. Ok, peut etre j'ai depense' moins d'argent en essence, mias c'est vraiment etirer les choses.;;;;;;;
103183709;Décérébrés RoadRace Cadavres;;;;;;;;;Pourvoir sortir la moto QUE pour aller travailler.;;Pourvoir sortir la moto QUE pour aller travailler.;;;;;;Pouvoir sortir la moto pour aller travailler sans toute cette circulation inutile puisque plein de gens peuvent faire du télé-travail.;;Pouvoir sortir la moto pour aller travailler sans toute cette circulation inutile puisque plein de gens peuvent faire du télé-travail.;;;;;;
103184798;Yes! Super! Enfin!;;Yes! Super! Enfin!;;;;;;;Plus de marche dans la forêt. Plus de promenade en moto. Pas de possibilité d'être confiné dans mon mobil home au bord de la mer.;;Plus de marche dans la forêt. Plus de promenade en moto. Pas de possibilité d'être confiné dans mon mobil home au bord de la mer.;;;;;;Aucun avantage;Aucun avantage;;;;;;;
103184889;sortie a moto balade pres de la mer entretiens;;;sortie a moto balade pres de la mer entretiens;;;;;;aucun;aucun;;;;;;;cela a permis de se recentrer sur mon foyer;;;;;;;;
103184897;Liberté Plaisir Enfin;Liberté Plaisir Enfin;Liberté Plaisir Enfin;;;;;;;Ne plus avoir de vie sociale;;;;Ne plus avoir de vie sociale;;;;Aucun avantage;Aucun avantage;;;;;;;
103184758;plaisir mobilité liberté;plaisir mobilité liberté;plaisir mobilité liberté;;;;;;;faire les achats du quotidien très compliqués;;;;;;;;éviter une contamination;;;;;;;;
103184782;plaisir espace danger;;plaisir espace danger;;plaisir espace danger;;;;;Aucun inconvénient;Aucun inconvénient;;;;;;;C'était un moment plus calme et détendu, propice à la réflexion et au partage avec mes proches.;;;C'était un moment plus calme et détendu, propice à la réflexion et au partage avec mes proches.;;;;;
103181692;bol d'air protection Covid liberté de circuler;bol d'air protection Covid liberté de circuler;;;;;;;;désociabilisation des enfants prise de poids, pb de santé (à mon age avancé);;;;désociabilisation des enfants prise de poids, pb de santé (à mon age avancé);;;;plus de temps pour l'entretien des 2RM;;;plus de temps pour l'entretien des 2RM;;;;;
103184919;Liberté Air pur Vitesse;Liberté Air pur Vitesse;;;;;;;;Ne pas rouler en 2 roues;;;;;;;;Prendre son temps;;;Prendre son temps;;;;;
103184945;prudence plaisir respirer;;prudence plaisir respirer;;;;;;;Liberté entravée;;Liberté entravée;;;;;;Moins de déplacements, gain de temps;;;Moins de déplacements, gain de temps;;;;;
103184791;balade aérer batterie à plat;;;balade aérer batterie à plat;;;;;;le confinement reste un confinement... mais au bout d'un moment c'est lourd à supporter et on tourne en rond.;;;;;;;;Moins de fatigue avec les transports. Plus de temps libre pour faire des choses à la maison;;;Moins de fatigue avec les transports. Plus de temps libre pour faire des choses à la maison;;;;;
103184926;ballade plaisir ;;ballade plaisir ;ballade plaisir ;;;;;;Privé de moto;;Privé de moto;;;;;;Pollution, temps en famille;;;Pollution, temps en famille;Pollution, temps en famille;;;;
103183899;Liberté Balade Profiter;Liberté Balade Profiter;;Liberté Balade Profiter;;;;;;Pas pouvoir partir en vacances voir les amis;;;;Pas pouvoir partir en vacances voir les amis;;;;Profiter de mon conjoint;;;;;;;;
103184812;liberté ivresse bonheur;liberté ivresse bonheur;liberté ivresse bonheur;;;;;;;retrouver ces amis et faire des balades en moto  du ski et vtt sachant qu il a fait beau tout les jours;;retrouver ces amis et faire des balades en moto  du ski et vtt sachant qu il a fait beau tout les jours;;retrouver ces amis et faire des balades en moto  du ski et vtt sachant qu il a fait beau tout les jours;;;;Plus de présences avec ces proches,plus de cuisines et de bricolages.;;;;;;;;
103184977;Rouler Liberté Vivre;Rouler Liberté Vivre;;Rouler Liberté Vivre;;;;;;Plus de ballades en moto.;;Plus de ballades en moto.;;;;;;Aucun avantage;Aucun avantage;;;;;;;
103185042;interdiction envie impossible;;;;;;;;;très peu de sortie, pas de moto, difficultées de la vie quotidienne, pas de rendez vous médicaux;;très peu de sortie, pas de moto, difficultées de la vie quotidienne, pas de rendez vous médicaux;;;;;;Aucun avantage;Aucun avantage;;;;;;;
103184044;gaz chemins virées;;;gaz chemins virées;;;;;;limites de mouvements;;;;;;;;du temps pour autre chose;;;du temps pour autre chose;;;;;
103185109;Vroum ballades liberté;Vroum ballades liberté;;Vroum ballades liberté;;;;;;Manque de liens sociaux;;;;Manque de liens sociaux;;;;Moins de stress lié au travail.;;;Moins de stress lié au travail.;;;;;
103185143;Enfin ! Liberté balades;Enfin ! Liberté balades;Enfin ! Liberté balades;Enfin ! Liberté balades;;;;;;Plus de déplacement à moto, beaucoup moins d'activités à l'extérieur (randonnées, concerts, festivals, bars, restaurants);;Plus de déplacement à moto, beaucoup moins d'activités à l'extérieur (randonnées, concerts, festivals, bars, restaurants);;;;;;Je n'ai jamais fait autant de travaux d'entretien et de réparation à la maison;;;;;;;;
103181764;Enfin Rouler Liberté;Enfin Rouler Liberté;Enfin Rouler Liberté;Enfin Rouler Liberté;;;;;;Pas de visite des enfants;;;;;;;;Pas déplacement domicile / boulot Très peu de pub à la télé !;;;;;;;;
103185171;sourire balades liberté;sourire balades liberté;;sourire balades liberté;;;;;;ne quasi plus avoir rouler en moto;;ne quasi plus avoir rouler en moto;;;;;;ne pas avoir à faire 100km par jour pour aller travailler avoir pu mieux entretenir mon jardin;;;;;;;;
103185377;travail liberté securité;travail liberté securité;;;;;;;;ne pas pouvoir se deplacé comme bon nous semblait;;;;;;;;Passé du temps avec sa famille proche;;;Passé du temps avec sa famille proche;;;;;
103184419;moto vadrouille ;;;moto vadrouille ;;;;;;Aucun inconvénient;Aucun inconvénient;;;;;;;Aucun avantage;Aucun avantage;;;;;;;
103184766;enfin balade ;;enfin balade ;enfin balade ;;;;;;solitude, manque de liberté;;solitude, manque de liberté;;;;;;baisse du rythme de vie, moins de fatigue;;;;;;;;
103185327;pas de différence  ;;;;;;;;;moins de liens sociaux;;;;moins de liens sociaux;;;;Aucun avantage;Aucun avantage;;;;;;;
103185213;ballade voyage liberté;ballade voyage liberté;;ballade voyage liberté;;;;;;Déplacements interdits;;Déplacements interdits;;;;;;Diminution du R0;;;;;;;;
103184820;Balades Liberté Soleil;Balades Liberté Soleil;;Balades Liberté Soleil;;;;;;Manque de contacts physiques;;;;;;;;La paix;;;;;;;;
103185026;liberté plaisir sensations;liberté plaisir sensations;liberté plaisir sensations;;;;;;;plus de ballade avec les potes en moto;;plus de ballade avec les potes en moto;;;;;;plus personne sur les routes, le désert;;;;;;;;
103185357;Liberté Plaisir Voyage;Liberté Plaisir Voyage;Liberté Plaisir Voyage;;;;;;;Aucun inconvénient;Aucun inconvénient;;;;;;;Aucun avantage;Aucun avantage;;;;;;;
103185447;liberté  ;liberté  ;;;;;;;;Rester à la maison, pas de rééducation suite à opération hernie discale;;;;;;;;Aucun avantage;Aucun avantage;;;;;;;
103185401;soulager liberté profiter;soulager liberté profiter;;;;;;;;ne pas pouvoir faire des balades moto ou vélo à cause du rayon d'un kilomètre;;ne pas pouvoir faire des balades moto ou vélo à cause du rayon d'un kilomètre;;;;;;un traffic fluide avec 80% d'effectif en télétravail mon travail est moins stressant.;;;un traffic fluide avec 80% d'effectif en télétravail mon travail est moins stressant.;;;;;
103185419;Se balader Aller ou on veut les odeurs de la nature;;;Se balader Aller ou on veut les odeurs de la nature;;;;;;Manque de se déplacer dans la nature;;;;;;;;Se déplacer uniquement pour des choses nécéssaire;;;;;;;;
103180661;Autres dangereux Perte automatismes Agréable;;;;Autres dangereux Perte automatismes Agréable;;;;;Aucun inconvénient;Aucun inconvénient;;;;;;;Aucun avantage;Aucun avantage;;;;;;;
103185488;air mouvement liberté;air mouvement liberté;;;;;;;;Aucun inconvénient;Aucun inconvénient;;;;;;;Aucun avantage;Aucun avantage;;;;;;;
103184831;ballade liberté plaisir;ballade liberté plaisir;ballade liberté plaisir;ballade liberté plaisir;;;;;;Lien social diminué. Travail à domicile complexe avec la présence des enfants au domicile. Les enfants ont développé des peurs ou des angoisses. Monotonie.;;;;Lien social diminué. Travail à domicile complexe avec la présence des enfants au domicile. Les enfants ont développé des peurs ou des angoisses. Monotonie.;;;;Renforcement de la solidarité locale;;;;;;;;
103185503;ouf se ballader liberté;ouf se ballader liberté;;ouf se ballader liberté;;;;;;manque de liberté de sortir;;manque de liberté de sortir;;;;;;passer plus de temps aux differentes taches .;;;passer plus de temps aux differentes taches .;;;;;
103185532;Vosges Alpes Italie;;;;;;;;;Aucun inconvénient;Aucun inconvénient;;;;;;;Pas de bouchons;;;;;;;;
103185502;Mecanique Circuit Ballade;;;Mecanique Circuit Ballade;;;;;;Augmentation énorme du temps de travail principalement lié aux precautions d'hygiène (je suis infirmier libéral et personne à risques);;;;;;;;Ma femme et mes enfants présents à la maison;;;;;;;;
103185652;liberté sortie avec le club nouvelle moto;liberté sortie avec le club nouvelle moto;;liberté sortie avec le club nouvelle moto;;;;;;le manque de relations sociales;;;;le manque de relations sociales;;;;j'ai pu passer plus de temps avec ma famille. nous avons moins dépensé d'argent;;;j'ai pu passer plus de temps avec ma famille. nous avons moins dépensé d'argent;;;;;
103185722;rouler liberté vitesse;rouler liberté vitesse;;rouler liberté vitesse;;;;;;Aucun inconvénient;Aucun inconvénient;;;;;;;Aucun avantage;Aucun avantage;;;;;;;
103185685;pouvoir rouler entretien moto achat moto;;;pouvoir rouler entretien moto achat moto;;;;;;ne plus voir les copains.;;;;;;;;plus d'entretien maison;;;;;;;;
103185360;Balades Duo Millieu moto;;;Balades Duo Millieu moto;;;;;;Beaucoup plus d'utilisateurs en scoot, irrespectueux du code de la route et de l'équipement de base...;;;;;;;;Continuer à travailler en aillant aucune circulation. Croiser des cygnes et des canards le matin, beaucoup plus d'oiseaux dans le ciel...;;Continuer à travailler en aillant aucune circulation. Croiser des cygnes et des canards le matin, beaucoup plus d'oiseaux dans le ciel...;;;;;;
103185732;Reparti Moto club Enfin;;Reparti Moto club Enfin;Reparti Moto club Enfin;;;;;;Impossibilité de se balader en moto;;Impossibilité de se balader en moto;;;;;;Rien de changer, mon activité professionnel n'a pas changé;;;;;;;;
103185717;liberté balade plaisir;liberté balade plaisir;liberté balade plaisir;liberté balade plaisir;;;;;;La suppression de ma liberté de déplacement !;;La suppression de ma liberté de déplacement !;;;;;;Une plus grande proximité avec les gens qui m'entourent, malgré la distanciation physique. Une mise en pratique de réseau courts pour les achats de produits frais auprès des petits producteurs locaux.;;;;;;;;
103185557;vigilance sérieux modération;;;;;;;;;Perte de contacts sociaux Obligation d'annuler des manifestations liées au 2RM organisées par des associations qui s'y impliquent fortement.;;;;Perte de contacts sociaux Obligation d'annuler des manifestations liées au 2RM organisées par des associations qui s'y impliquent fortement.;;;;Aucun avantage;Aucun avantage;;;;;;;
103185719;Randonnée Distanciation Physique Plaisir;;Randonnée Distanciation Physique Plaisir;;;;;;;Perte conséquente de chiffre pour ma société;;;;;;;;Cool et je sai qu'à la retraite on va pas se foutre sur la tronche avec ma moitié;;;;;;;;
103185818;Liberté Sensations Ouf;Liberté Sensations Ouf;;;;;;;;Activité réduite, sentiment d’etre Prisonnier chez soi....peur d’attraper cette saleté;;;;;;;;Économie de carburant, assurance et risques d’accident moindres;;;;;;Économie de carburant, assurance et risques d’accident moindres;;
103185700;Virée Apéro Enfin;;Virée Apéro Enfin;;;;;;;Aucun inconvénient;Aucun inconvénient;;;;;;;Aucun avantage;Aucun avantage;;;;;;;
103185814;ballades virages promenade de santé;;;ballades virages promenade de santé;;;;;;Moins de relations sociales avec les collègues, moins de rencontres informelles, dans un premier temps, mais, on apprend à utiliser d'autres ressources (caméra et micro) et les liens se resserrent grâce aux temps de trajet économisés.;;;;Moins de relations sociales avec les collègues, moins de rencontres informelles, dans un premier temps, mais, on apprend à utiliser d'autres ressources (caméra et micro) et les liens se resserrent grâce aux temps de trajet économisés.;;;;Le monde du travail a subitement été obligé de constater que le travail à distance (depuis chez soi) ça pouvait marcher. Du coup, plus obligé de prendre la moto pour me rendre au travail, moins d'embouteillage, moins de pollution ... Et la moto pour des ballades 100% plaisir !;;;;Le monde du travail a subitement été obligé de constater que le travail à distance (depuis chez soi) ça pouvait marcher. Du coup, plus obligé de prendre la moto pour me rendre au travail, moins d'embouteillage, moins de pollution ... Et la moto pour des ballades 100% plaisir !;;;;
103185843;profiter attention aux autres qui n'ont pas pris le volant depuis 2 mois liberté;profiter attention aux autres qui n'ont pas pris le volant depuis 2 mois liberté;;;;;;;;Aucun inconvénient;Aucun inconvénient;;;;;;;se resentrer sur plusieurs choses un peu plus de temps pour les travaux et choses a faire;;;se resentrer sur plusieurs choses un peu plus de temps pour les travaux et choses a faire;;;;;
103185942;danger insouciance vitesse;;;;danger insouciance vitesse;;;;;ne pouvoir aller ou on veux, se balader en moto;;ne pouvoir aller ou on veux, se balader en moto;;;;;;ralentir l'épidémie, moins de pollution, ville moins bruyant;;;;ralentir l'épidémie, moins de pollution, ville moins bruyant;ralentir l'épidémie, moins de pollution, ville moins bruyant;;;
103183961;Rouler Ballade Liberté;Rouler Ballade Liberté;;Rouler Ballade Liberté;;;;;;Moins de sortie, pour les loisirs. Inquiétude sur l'avenir;;;;;;;;Se recentrer  sur soi.  Avoir du temps en famille;;;Se recentrer  sur soi.  Avoir du temps en famille;;;;;
103185844;plaisir hélas ras-le-bol;;plaisir hélas ras-le-bol;;;;;;;des contrôles de FDO, des déclarations présidentielles à n'en plus finir, la main-mise des lobbies pharmaceutiques et des chasseurs sur les décisions, le fait que  des libertés  aient été restreintes et que le gouvernement en profite pour installer de force en catimini les antennes G;;des contrôles de FDO, des déclarations présidentielles à n'en plus finir, la main-mise des lobbies pharmaceutiques et des chasseurs sur les décisions, le fait que  des libertés  aient été restreintes et que le gouvernement en profite pour installer de force en catimini les antennes G;;;;;;les oiseaux chantent à nouveau, on voit des animaux, les chasseurs restent à la maison, il n'y a pas eu de corridas. Hélas tout cela va de nouveau disparaître. On a également vu les retournements de vestes, les pseudos scientifiques;;;;;;;;
103182078;Liberté balades amis;Liberté balades amis;;Liberté balades amis;;Liberté balades amis;;;;Ne plus pouvoir se déplacer normalement. Et surtout, ne plus pouvoir pratiquer mon sport, le VTT et Vélo de route.;;;;;;;;Aucun avantage;Aucun avantage;;;;;;;
103185881;Plaisir Liberté Voyage;Plaisir Liberté Voyage;Plaisir Liberté Voyage;;;;;;;"Manque de contacts professionnels, amicaux et familiaux. Télétravail lassant et plus ""occupationnel"" qu'efficace.";;;;"Manque de contacts professionnels, amicaux et familiaux. Télétravail lassant et plus ""occupationnel"" qu'efficace.";;;;Profiter de la maison, du jardin, de la nature. Rattraper le bricolage en retard.;;;;Profiter de la maison, du jardin, de la nature. Rattraper le bricolage en retard.;;;;
103186076;Liberté Plaisir Rouler;Liberté Plaisir Rouler;Liberté Plaisir Rouler;Liberté Plaisir Rouler;;;;;;Limitation des déplacements, principalement à deux roues.;;Limitation des déplacements, principalement à deux roues.;;;;;;Des retrouvailles familiales inhabituelles.;;;;;;;;
103186066;Enfin Ouf! Liberté;Enfin Ouf! Liberté;Enfin Ouf! Liberté;;;;;;;Perte de liberté;;Perte de liberté;;;;;;Aucun avantage;Aucun avantage;;;;;;;
103186101;Balade Sortie en groupe Sortie sans attestation;;;Balade Sortie en groupe Sortie sans attestation;;;;;;Déplacements limités;;Déplacements limités;;;;;;Moins de dépenses pour le foyer;;;;;;;;
103186128;pas de changement pistes reouvertes R1;;;;;;;;;Aucun inconvénient;Aucun inconvénient;;;;;;;Aucun avantage;Aucun avantage;;;;;;;
103185955;liberté rouler les potes;liberté rouler les potes;;liberté rouler les potes;;;;;;manque de liberté;;manque de liberté;;;;;;Aucun avantage;Aucun avantage;;;;;;;
103185812;Plaisir Passion Distenciation;;Plaisir Passion Distenciation;;;;;;;Pas envie de retourner bosser;;;;;;;;Agréable pour la vie en couple;;;;;;;;
103186005;Reprise du boulot Besoin de se lâcher Montagne;;;;;;;;;Avoir enfin du temps et ne pas pouvoir voyager.;;;;;;;;Arrêter de bosser comme un dingue, profiter de ma maison de mon jardin Découvrir que le boulot n'est pas tout dans la vie. Manger plus sainement Avant gout de la retraite!;;;;;;;;
103186256;Liberté Plaisir Détente;Liberté Plaisir Détente;Liberté Plaisir Détente;;;;;;;Impossible de voir ses amis (ies);;;;Impossible de voir ses amis (ies);;;;Repos total;;;Repos total;;;;;
103182020;ouf super heureux;;ouf super heureux;;;;;;;Tres long;;;;;;;;les contacts voisin;;;;;;;;
103186140;liberté week end route;liberté week end route;;;;;;;;Ne pas pouvoir sortir librement;;Ne pas pouvoir sortir librement;;;;;;Me reposer, cuisiner et bricoler;;;Me reposer, cuisiner et bricoler;;;;;
103185041;balades révision moto manque de roulage;;;balades révision moto manque de roulage;;;;;;manque de pouvoir me fournir en matériel;;;;;;;;Aucun avantage;Aucun avantage;;;;;;;
103186167;sortie balade voyage;;;sortie balade voyage;;;;;;Manque de contact physique avec les miens Impossibilité de rouler;;;;;;;;Aucun avantage;Aucun avantage;;;;;;;
103186245;balade essais liberté;balade essais liberté;;balade essais liberté;;;;;;Aucun inconvénient;Aucun inconvénient;;;;;;;Déconfinement et donc remise en état de 3 motos !;;;;;;;;
103186259;enfin soleil semi liberté;enfin soleil semi liberté;enfin soleil semi liberté;;;;;;;"être obligé de rester chez soi, avoir un ""laisser passer""";;;;;;;;J'ai pu travailler chez moi;;;;;;;;
103183515;Sécurité Liberté Air pur;Sécurité Liberté Air pur;;;Sécurité Liberté Air pur;;;;;Sédentarité;;;;;;;;Aucun avantage;Aucun avantage;;;;;;;
103186351;balade liberté voyage;balade liberté voyage;;balade liberté voyage;;;;;;perte de lien social;;;;perte de lien social;;;;Aucun avantage;Aucun avantage;;;;;;;
103186321;patate chaussure rastacouere;;;;;;;;;Aucun inconvénient;Aucun inconvénient;;;;;;;Moins de transport plus de temps por le reste.;;;Moins de transport plus de temps por le reste.;;;;;
103186488;travail travail travail;;;;;;;;;Ennui;;;;;;;;Repos;;;Repos;;;;;
103186322;liberté carburant heureux;liberté carburant heureux;liberté carburant heureux;;;;;;;un peu de stress et une sensation d'enfermement;;un peu de stress et une sensation d'enfermement;;;;;;Une certaine sérénité, beaucoup de temps libre pour bricoler;;;Une certaine sérénité, beaucoup de temps libre pour bricoler;;;;;
103186418;concessionnaires nouveautés essais;;;;;;;;;Aucun inconvénient;Aucun inconvénient;;;;;;;Aucun avantage;Aucun avantage;;;;;;;
103186299;Soleil Boulot Montagne;;;;;;;;;Plus de sorties;;;;;;;;Plus de temps  avec les enfants.  Entretient de la maison.;;;Plus de temps  avec les enfants.  Entretient de la maison.;;;;;
103186328;Soleil Kilometres Liberté;Soleil Kilometres Liberté;;;;;;;;Manque de contacts et de dortie;;;;;;;;Me recentrer sur mes priorités;;;;;;;;
103186501;Allons En Route;;;;;;;;;Aucun inconvénient;Aucun inconvénient;;;;;;;Aucun avantage;Aucun avantage;;;;;;;
103186489;prudence calme plaisir;;prudence calme plaisir;;;;;;;Aucun inconvénient;Aucun inconvénient;;;;;;;Ralentissement de l'activité = ralentissement du rythme de vie, tout était moins urgent.;;;;;;;;
103186559;Dangers Circulation Révision;;;;Dangers Circulation Révision;;;;;Plus long chez les marchands de matériaux;;;;;;;;J'ai avancé ma rénovation de corps de ferme;;;;;;;;
103186687;Balade Balade Balade;;;Balade Balade Balade;;;;;;La durée des sorties limitée;;;;;;;;Retour aux vraies valeurs;;;;;;;;
103186776;libre heureux plaisir;;libre heureux plaisir;;;;;;;prisonnier, stressé lors des sorties;;;;;;;;silence, calme, chant des oiseaux;;;silence, calme, chant des oiseaux;;;;;
103186705;Enfin ! Reprise de ma passion Au bon moment par rapport au climat;;Enfin ! Reprise de ma passion Au bon moment par rapport au climat;;;;;;;Difficultés pour se déplacer, rencontrer des gens , gérer son activité pro;;;;;;;;Tri et rangement en vue d’un déménagement;;;;;;;;
103186672;promenade pression pneumatique blouson été;;;promenade pression pneumatique blouson été;;;;;;obligation de remplir une déclaration pour chaque déplacement.;;obligation de remplir une déclaration pour chaque déplacement.;;;;;;pouvoir se mettre à jour sur les travaux en retard à la maison. Bricolage, jardin;;;;;;;;
103186569;Liberté de rouler Plus d'attestation Essence moins chère;Liberté de rouler Plus d'attestation Essence moins chère;;Liberté de rouler Plus d'attestation Essence moins chère;;;;;;La distance autorisée de 1 kilomètre pour la sortie à vélo, ridicule !;;;;;;;;Aucun avantage;Aucun avantage;;;;;;;
103186888;long trajet cool liberté;long trajet cool liberté;;;;;;;;pas de possibilité de grandes virées alors qu'il a fait très beau;;;;;;;;temps pour m'occuper de mes motod;;;temps pour m'occuper de mes motod;;;;;
103186522;liberté bpuger agir;liberté bpuger agir;;;;;;;;le manque d'exercice et de liberté de déplacement la contrainte des précautions;;le manque d'exercice et de liberté de déplacement la contrainte des précautions;;;;;;plus de temps choisi pour moi et de calme;;;plus de temps choisi pour moi et de calme;;;;;
103186882;Balade Visite de la famille 100km trop limite;;;Balade Visite de la famille 100km trop limite;;Balade Visite de la famille 100km trop limite;;;;sortie à 1km autour de la maison même en pleine campagne. faire l'attestation pour la moindre sortie. tout est devenu très compliqué pour faire ses courses. trop d'attente. moins d'envie de dépenser car trop de contrainte;;sortie à 1km autour de la maison même en pleine campagne. faire l'attestation pour la moindre sortie. tout est devenu très compliqué pour faire ses courses. trop d'attente. moins d'envie de dépenser car trop de contrainte;;;;;;Aucun avantage;Aucun avantage;;;;;;;
103186947;virée détente vigilance;;virée détente vigilance;;;;;;;Aucun inconvénient;Aucun inconvénient;;;;;;;Aucun avantage;Aucun avantage;;;;;;;
103187013;normalité beaux jours enfin;;normalité beaux jours enfin;;;;;;;complexité du télétravail permanent cumulé à la garde des enfants en bas âge;;;;;;;;Aucun avantage;Aucun avantage;;;;;;;
103186806;Youpi Virées Plaisir;;Youpi Virées Plaisir;;;;;;;Ne plus voir sa famille et ses amis ET ne plus pouvoir faire des virées en moto.;;Ne plus voir sa famille et ses amis ET ne plus pouvoir faire des virées en moto.;;Ne plus voir sa famille et ses amis ET ne plus pouvoir faire des virées en moto.;;;;Réapprendre à prendre le temps.;;;Réapprendre à prendre le temps.;;;;;
103186937;balade liberté évasion;balade liberté évasion;;balade liberté évasion;;;;;;d'être confiné....;;;;;;;;Aucun avantage;Aucun avantage;;;;;;;
