Situation familiale;Nombre de 2rm conduits par le membre;CSP du membre;Tranche_âge;Tranche_année de mise en circulation du 2rm 1;Année de mise en circulation du 2rm 2;Année de mise en circulation du 2rm 3;Cylindrée du 2rm 1;Cylindrée du 2rm 2;Cylindrée du 2rm 3;Fréquence d'utilisation du 2rm 1;Fréquence d'utilisation du 2rm 2;Fréquence d'utilisation du 2rm 3;Nombre de kilomètres parcourus par an sur l'ensemble des 2RM;Marque du 2rm 1;Marque du 2rm 2;Marque du 2rm 3;Segment du 2rm 1;Segment du 2rm 2;Segment du 2rm 3;Usage du 2rm 1;Usage du 2rm 2;Usage du 2rm 3;Votre catégorie socioprofessionnelle :;Q97 Le confinement vous a permis d’apprendre à vous déplacer autrement.;Q97 Vous pensez que c’est bénéfique pour votre santé.;Q97 Vous souhaitez générer moins de pollution.;Q97 Vous gagnez du temps.;Q97 Vous gagnez en autonomie.;Q97 Vous respectez la distanciation sociale.;Q97 Vous êtes moins exposé au risque sanitaire.;Q97 Vous évitez les contraintes des bouchons.;Q97 Vous ne dépendez plus des transports en commun ou d’une tierce personne.;Q97 Vous êtes moins impacté en cas de mouvements sociaux.;Q97 Autre. Précisez;La crise sanitaire a-t-elle eu un impact sur les revenus de votre foyer ?;Suite à la crise, êtes-vous inquiet pour : - la pérennité de votre emploi;Suite à la crise, êtes-vous inquiet pour : - la pérennité de votre entreprise;Suite à la crise, êtes-vous inquiet pour : - l’impact sur l’économie nationale;Suite à la crise, êtes-vous inquiet pour : - la situation financière de votre foyer;Suite à la crise, êtes-vous inquiet pour : - Autre. Précisez;Suite à la crise, êtes-vous inquiet pour : - Vous n'êtes pas inquiet(ète).;Budget 2RM agrégé;Evolution budget agrégé;Votre catégorie socioprofessionnelle :;En voiture - Avant le confinement;En voiture - Pendant le confinement;En voiture - Dans les mois qui vont suivre;A 2-roues motorisé - Avant le confinement;A 2-roues motorisé - Pendant le confinement;A 2-roues motorisé - Dans les mois qui vont suivre;A vélo - Avant le confinement;A vélo - Pendant le confinement;A vélo - Dans les mois qui vont suivre;Avec un engin nouvelle mobilité électrique (trottinette électrique, Vélo à Assistance Électrique…) - Avant le confinement;Avec un engin nouvelle mobilité électrique (trottinette électrique, Vélo à Assistance Électrique…) - Pendant le confinement;Avec un engin nouvelle mobilité électrique (trottinette électrique, Vélo à Assistance Électrique…) - Dans les mois qui vont suivre;En transports en commun - Avant le confinement;En transports en commun - Pendant le confinement;En transports en commun - Dans les mois qui vont suivre;En co-voiturage - Avant le confinement;En co-voiturage - Pendant le confinement;En co-voiturage - Dans les mois qui vont suivre;En auto/moto partage - Avant le confinement;En auto/moto partage - Pendant le confinement;En auto/moto partage - Dans les mois qui vont suivre;A pied - Avant le confinement;A pied - Pendant le confinement;A pied - Dans les mois qui vont suivre;Non concerné(e) - Avant le confinement;Non concerné(e) - Pendant le confinement;Non concerné(e) - Dans les mois qui vont suivre;Autre - Avant le confinement;Autre - Pendant le confinement;Autre - Dans les mois qui vont suivre
Seul(e) sans enfant;2rm : 1;Cadres;Moins de 30 ans;[2011-2015];;;[650 - 990] - A;;;Tous les jours;Non conducteur de 2rm 2;Non conducteur de 2rm 3;[5200-10000];KAWASAKI;Non conducteur de 2rm 2;Non conducteur de 2rm 3;Sportive;Non conducteur de 2rm 2;Non conducteur de 2rm 3;Pour les trajets domicile travail;Non conducteur de 2rm 2;Non conducteur de 2rm 3;Cadre;;;;;;;;;;;;Non, vos revenus sont inchangés.;Non;Non;Oui;Non;Non;Oui;[0-300];rester stable;Cadre;Non;Non;Non;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non
En couple sans enfant;2rm : 2;Cadres;50-59 ans;[2006-2010];[2011-2015];;1000+ - A;[650 - 990] - A;;Quelques fois par semaine;Quelques fois par mois;Non conducteur de 2rm 3;[15000-];HONDA;YAMAHA;Non conducteur de 2rm 3;Trail / Supermotard;Roadster;Non conducteur de 2rm 3;Pour les loisirs;Pour les loisirs;Non conducteur de 2rm 3;Cadre;;;;;;;;;;;;Non, vos revenus sont inchangés.;Non;Non;Oui;Non;Non;Oui;[500-1000];rester stable;Cadre;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
En couple sans enfant;2rm : 1;Retraités;60-69 ans;[2011-2015];;;[200 - 600] - A2;;;Quelques fois par semaine;Non conducteur de 2rm 2;Non conducteur de 2rm 3;[10000-15000];PEUGEOT;Non conducteur de 2rm 2;Non conducteur de 2rm 3;Routière / GT;Non conducteur de 2rm 2;Non conducteur de 2rm 3;Pour les loisirs;Non conducteur de 2rm 2;Non conducteur de 2rm 3;Retraité;;;;;;;;;;;;Non, vos revenus sont inchangés.;;;Oui;Non;Non;;[300,500];rester stable;Retraité;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
En couple sans enfant;2rm : 1;Employés;Moins de 30 ans;[2006-2010];;;[200 - 600] - A2;;;Quelques fois par semaine;Non conducteur de 2rm 2;Non conducteur de 2rm 3;[0-5200];YAMAHA;Non conducteur de 2rm 2;Non conducteur de 2rm 3;Roadster;Non conducteur de 2rm 2;Non conducteur de 2rm 3;Pour les loisirs;Non conducteur de 2rm 2;Non conducteur de 2rm 3;Employé;;;;;;;;;;;;Oui, vos revenus ont diminué.;Non;Non;Oui;Non;Non;Oui;[500-1000];rester stable;Employé;Oui;Oui;Non;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
Seul(e) sans enfant;2rm : 1;Employés;30-39 ans;[2001-2005];;;1000+ - A;;;Quelques fois par mois;Non conducteur de 2rm 2;Non conducteur de 2rm 3;[5200-10000];HONDA;Non conducteur de 2rm 2;Non conducteur de 2rm 3;Roadster;Non conducteur de 2rm 2;Non conducteur de 2rm 3;Pour les loisirs;Non conducteur de 2rm 2;Non conducteur de 2rm 3;Employé;;;;;;;;;;;;Oui, vos revenus ont diminué.;Non;Non;Non;Oui;Non;Non;[300,500];diminuer;Employé;Oui;Non;Oui;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non
En couple avec enfant(s);2rm : 1;Employés;40-49 ans;[2006-2010];;;[650 - 990] - A;;;Quelques fois par mois;Non conducteur de 2rm 2;Non conducteur de 2rm 3;[5200-10000];SUZUKI;Non conducteur de 2rm 2;Non conducteur de 2rm 3;Sportive;Non conducteur de 2rm 2;Non conducteur de 2rm 3;Pour les trajets domicile travail;Non conducteur de 2rm 2;Non conducteur de 2rm 3;Employé;;;;;;;;;;;;Non, vos revenus sont inchangés.;Non;Non;Non;Non;Non;Non;[500-1000];rester stable;Employé;Non;Non;Non;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
Seul(e) sans enfant;2rm : 2;En recherche d'emploi;60-69 ans;[1991-2000];[2001-2005];;1000+ - A;[200 - 600] - A2;;Quelques fois par semaine;Quelques fois par semaine;Non conducteur de 2rm 3;[15000-];BMW;BMW;Non conducteur de 2rm 3;Routière / GT;Routière / GT;Non conducteur de 2rm 3;Pour les loisirs;Pour les trajets domicile travail;Non conducteur de 2rm 3;Retraité;;;;;;;;;;;;Non, vos revenus sont inchangés.;;;;;;;[0-300];rester stable;Retraité;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
En couple avec enfant(s);2rm : 1;Cadres;50-59 ans;[2016-2019];;;1000+ - A;;;Quelques fois par semaine;Non conducteur de 2rm 2;Non conducteur de 2rm 3;[0-5200];BMW;Non conducteur de 2rm 2;Non conducteur de 2rm 3;Trail / Supermotard;Non conducteur de 2rm 2;Non conducteur de 2rm 3;Pour les trajets domicile travail;Non conducteur de 2rm 2;Non conducteur de 2rm 3;Cadre;Non;Non;Non;Non;Non;Non;Non;Non;Non;;Rien seulement plus de travail;Oui, vos revenus ont diminué.;Oui;Oui;Oui;Oui;Non;Oui;[300,500];diminuer;Cadre;Oui;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Oui;Non;Non;Non
En couple sans enfant;2rm : 1;Retraités;60-69 ans;[2016-2019];;;1000+ - A;;;Tous les jours;Non conducteur de 2rm 2;Non conducteur de 2rm 3;[10000-15000];KAWASAKI;Non conducteur de 2rm 2;Non conducteur de 2rm 3;Routière / GT;Non conducteur de 2rm 2;Non conducteur de 2rm 3;Pour les loisirs;Non conducteur de 2rm 2;Non conducteur de 2rm 3;Retraité;;;;;;;;;;;;Non, vos revenus sont inchangés.;;;Oui;Non;Non;;[1000-];rester stable;Retraité;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
En couple avec enfant(s);2rm : 2;Ouvriers;50-59 ans;[1991-2000];[2016-2019];;[650 - 990] - A;1000+ - A;;Quelques fois par an;Quelques fois par semaine;Non conducteur de 2rm 3;[5200-10000];HONDA;SUZUKI;Non conducteur de 2rm 3;Sportive;Roadster;Non conducteur de 2rm 3;Pour les loisirs;Pour les trajets domicile travail;Non conducteur de 2rm 3;Ouvrier;;;;;;;;;;;;Non, vos revenus sont inchangés.;Non;Oui;Non;Non;Non;Non;[300,500];rester stable;Ouvrier;Non;Non;Non;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non
