Situation familiale;Sexe du membre;Nombre de personnes dans le foyer;Nombre de 2rm conduits par le membre;Nombre denfants à charge;Département dhabitation en France;Tranche_âge;Année de mise en circulation du 2rm 1;Assurance du 2rm 1;Cylindrée du 2rm 1;Fréquence dutilisation du 2rm 1;Nombre de kilomètres parcourus par an avec 2rm 1;Appellation du 2rm 1;Marque du 2rm 1;Segment du 2rm 1;Stationnement du 2RM 1;Usage du 2rm 1;Budget 2-roues (hors carburant);Votre profession :;Votre catégorie socioprofessionnelle :;Aviez-vous l’intention de changer de 2-roues motorisé en 2020 ?
En couple avec enfant(s);Homme;3;1;1;95;40-49 ans;2014;MUTUELLE DES MOTARDS;125;Tous les jours;12000;X-MAX;YAMAHA;Scooter;Garage individuel (ou box privatif);Pour les trajets domicile travail;;Responsable informatique;Cadre;True
En couple sans enfant;Homme;2;3;0;77;40-49 ans;2014;AUTRE;1690;Quelques fois par semaine;15000;ROAD GLIDE SPECIAL;HARLEY-DAVIDSON;Routière / GT;Garage individuel (ou box privatif);Pour les loisirs;700;Responsable Technique;Cadre;False
En couple avec enfant(s);Homme;5;1;3;75;40-49 ans;2015;AMV (ASSURANCE MOTO VERTE);800;Tous les jours;5000;TIGER XCX;TRIUMPH;Trail / Supermotard;Parking privé non clos;Pour les trajets domicile travail;1500;Cadre de la fonction publique;Cadre;False
En couple avec enfant(s);Homme;4;4;2;34;50-59 ans;1992;MUTUELLE DES MOTARDS;600;Tous les jours;50000;TRANSALP +35KW;HONDA;Trail / Supermotard;Parking privé clos;Pour les trajets domicile travail;;chef de projets industriels;En recherche demploi;False
En couple avec enfant(s);Homme;4;1;2;25;40-49 ans;2012;MACIF;675;Quelques fois par mois;5000;STREET TRIPLE;TRIUMPH;Roadster;Garage individuel (ou box privatif);Pour les loisirs;500;Professeur de Lycée Technique;Cadre;False
En couple sans enfant;Homme;2;1;0;94;50-59 ans;2019;AMV (ASSURANCE MOTO VERTE);1050;Tous les jours;10000;SPEED TRIPLE RS;TRIUMPH;Roadster;Garage individuel (ou box privatif);Pour les trajets domicile travail;800;Infographiste;Cadre;False
En couple avec enfant(s);Homme;5;3;3;13;50-59 ans;1987;MUTUELLE DES MOTARDS;650;Tous les jours;15000;AFRICA TWIN (XRV);HONDA;Trail / Supermotard;Garage individuel (ou box privatif);Pour les trajets domicile travail;;Admin Syst. dInformation Géog;Profession intermédiaire;False
En couple sans enfant;Femme;2;3;0;28;40-49 ans;2015;MUTUELLE DES MOTARDS;650;Quelques fois par mois;6000;CBR 650FA;HONDA;Sportive;Garage individuel (ou box privatif);Pour les trajets domicile travail;;Gestionnaire commerciale;Cadre;False
En couple avec enfant(s);Homme;4;1;2;31;40-49 ans;2004;MAIF;1200;Tous les jours;10000;ZZR;KAWASAKI;Routière / GT;Garage individuel (ou box privatif);Pour les trajets domicile travail;300;Informaticien;Cadre;False
Seul(e) sans enfant;Homme;1;1;0;74;60-69 ans;2012;MACIF;1200;Quelques fois par semaine;6000;R1200GS RALLYE;BMW;Trail / Supermotard;Garage individuel (ou box privatif);Pour les loisirs;;cadre;Retraité;False
En couple sans enfant;Homme;2;6;0;59;60-69 ans;2016;MACIF;750;Quelques fois par semaine;10000;SHIVER ABS;APRILIA;Roadster;Garage individuel (ou box privatif);Pour les loisirs;;Retraité;Retraité;False
En couple avec enfant(s);Homme;3;1;1;40;50-59 ans;1993;MACIF;1200;Quelques fois par semaine;5000;SPORTSTER;HARLEY-DAVIDSON;Roadster;Garage individuel (ou box privatif);Pour les loisirs;300;agent de sécurité;Employé;False
En couple sans enfant;Homme;2;1;0;1;60-69 ans;2011;MACIF;1300;Quelques fois par semaine;7000;K1300GT;BMW;Routière / GT;Garage individuel (ou box privatif);Pour les loisirs;500;Essayeur ... en retraite !;Cadre;False
En couple avec enfant(s);Homme;4;6;2;10;40-49 ans;2009;MACIF;1300;Quelques fois par mois;5000;K1300R PACK KR;BMW;Roadster;Garage individuel (ou box privatif);Pour les loisirs;500;Recherche d’emploi;En recherche demploi;False
En couple avec enfant(s);Homme;4;1;2;95;30-39 ans;2010;CAISSE DEPARGNE;1300;Quelques fois par mois;5000;XJR;YAMAHA;Roadster;Parking privé clos;Pour les trajets domicile travail;;Technicien;Employé;False
En couple sans enfant;Homme;2;3;0;17;50-59 ans;2003;MUTUELLE DES MOTARDS;1000;Quelques fois par semaine;10000;RS-V R FACTORY;APRILIA;Sportive;Garage individuel (ou box privatif);Pour les loisirs;800;mecanicien en invalidite;Autre sans activité professionnelle (personne au foyer...);False
Seul(e) sans enfant;Homme;1;1;0;95;40-49 ans;2010;MUTUELLE DES MOTARDS;1198;Quelques fois par semaine;7500;1098 R SUPERBIKE;DUCATI;Sportive;Parking privé non clos;Pour les trajets domicile travail;1200;Ingénieur du son;Profession libérale et artistique;False
En couple sans enfant;Homme;2;1;0;95;50-59 ans;2002;MUTUELLE DES MOTARDS;1150;Tous les jours;20000;R1150RT;BMW;Routière / GT;Garage individuel (ou box privatif);Pour les trajets domicile travail;500;Conducteur RER RATP;Employé;False
En couple avec enfant(s);Homme;3;1;1;33;40-49 ans;2010;MUTUELLE DES MOTARDS;650;Tous les jours;15000;BANDIT 34CV;SUZUKI;Roadster;Garage individuel (ou box privatif);Pour les trajets domicile travail;2000;Service Delivery Manager;Cadre;False
