Situation familiale;Sexe du membre;Nombre de personnes dans le foyer;Nombre de 2rm conduits par le membre;Nombre denfants à charge;Département dhabitation en France;Tranche_âge;Année de mise en circulation du 2rm 1;Assurance du 2rm 1;Cylindrée du 2rm 1;Fréquence dutilisation du 2rm 1;Nombre de kilomètres parcourus par an avec 2rm 1;Appellation du 2rm 1;Marque du 2rm 1;Segment du 2rm 1;Stationnement du 2RM 1;Usage du 2rm 1;Budget 2-roues (hors carburant);Votre profession :;Votre catégorie socioprofessionnelle :;Aviez-vous l’intention de changer de 2-roues motorisé en 2020 ?
En couple sans enfant;Homme;2;3;0;65;60-69 ans;2006;GENERALI;1400;Quelques fois par an;2000;GSX;SUZUKI;Roadster;Garage individuel (ou box privatif);Pour les loisirs;;Agent territorial;Ouvrier;False
En couple sans enfant;Homme;2;1;0;26;50-59 ans;2015;MACIF;1000;Tous les jours;12000;S1000XR;BMW;Roadster;Garage individuel (ou box privatif);Pour les trajets domicile travail;200;technicien methodes;Profession intermédiaire;True
En couple avec enfant(s);Homme;4;1;2;13;40-49 ans;2005;MUTUELLE DES MOTARDS;1000;Quelques fois par semaine;6000;V-STROM;SUZUKI;Trail / Supermotard;Garage individuel (ou box privatif);Pour les trajets domicile travail;700;Expert en technologie du SI;Cadre;False
En couple avec enfant(s);Homme;4;1;2;92;50-59 ans;2013;MUTUELLE DES MOTARDS;1600;Quelques fois par semaine;10000;K1600GT SPORT PACK & SECURIT;BMW;Routière / GT;Garage collectif;Pour les trajets domicile travail;1000;Directeur Recherche et Dévelop;Cadre;False
Seul(e) avec enfants;Femme;2;3;1;76;40-49 ans;2003;MACIF;600;Quelques fois par semaine;8000;XJ-S DIVERSION;YAMAHA;Roadster;Parking privé clos;Pour les loisirs;;fonctionnaire;Employé;True
En couple sans enfant;Homme;2;1;0;35;60-69 ans;2017;CLUB 14;1200;Quelques fois par semaine;7000;R1200GS ADVENTURE ABS (FULL);BMW;Trail / Supermotard;Garage individuel (ou box privatif);Pour les loisirs;;instituteur;Profession intermédiaire;False
En couple avec enfant(s);Homme;5;1;3;69;60-69 ans;1983;MUTUELLE DES MOTARDS;1300;Tous les jours;5000;Z1300;KAWASAKI;Roadster;Garage collectif;Pour les loisirs;1000;Technicien;Cadre;True
En couple sans enfant;Homme;2;2;0;42;60-69 ans;2019;MUTUELLE DES MOTARDS;1200;Quelques fois par semaine;15000;R1200RT;BMW;Routière / GT;Garage individuel (ou box privatif);Pour les loisirs;;Gérant de socièté;Retraité;False
En couple sans enfant;Homme;2;2;0;45;30-39 ans;2017;AUTRE;850;Quelques fois par semaine;6000;MT-09 TRACER (FULL);YAMAHA;Roadster;Parking privé clos;Pour les trajets domicile travail;200;Commercial;Employé;False
En couple sans enfant;Homme;2;1;0;21;60-69 ans;1996;MUTUELLE DES MOTARDS;900;Quelques fois par semaine;13000;XJS DIVERSION;YAMAHA;Routière / GT;Parking privé clos;Pour les trajets professionnels;;technicien audio visuel;Retraité;False
En couple avec enfant(s);Homme;4;1;2;60;40-49 ans;2011;AUTRE;1600;Quelques fois par mois;5000;K1600GTL (FULL);BMW;Routière / GT;Garage individuel (ou box privatif);Pour les loisirs;;Chargé daffaire et de projet;Employé;False
En couple sans enfant;Homme;2;2;0;69;60-69 ans;2019;MUTUELLE DES MOTARDS;1250;Quelques fois par semaine;8000;R1250RT;BMW;Routière / GT;Garage individuel (ou box privatif);Pour les loisirs;;Retraité;Retraité;False
En couple sans enfant;Homme;2;1;0;46;60-69 ans;2010;MUTUELLE DES MOTARDS;1300;Quelques fois par semaine;12000;K1300GT (FULL);BMW;Roadster;Garage individuel (ou box privatif);Pour les loisirs;;Retraité;Retraité;False
En couple sans enfant;Homme;2;2;0;69;60-69 ans;2016;MUTUELLE DES MOTARDS;1600;Tous les jours;10000;K1600GTL (FULL);BMW;Routière / GT;Garage individuel (ou box privatif);Pour les trajets domicile travail;800;Administrateur de bases de don;Profession intermédiaire;True
En couple sans enfant;Homme;2;1;0;65;40-49 ans;1999;MUTUELLE DES MOTARDS;800;Tous les jours;6000;VFR-F;HONDA;Routière / GT;Garage individuel (ou box privatif);Pour les trajets domicile travail;200;Animateur;Profession intermédiaire;False
Seul(e) sans enfant;Homme;1;4;0;34;50-59 ans;2015;MUTUELLE DES MOTARDS;1200;Quelques fois par semaine;15000;TROPHY 3 SE;TRIUMPH;Routière / GT;Garage individuel (ou box privatif);Pour les loisirs;700;paysan;Agriculteur exploitant;False
En couple sans enfant;Homme;2;2;0;91;60-69 ans;2003;MUTUELLE DES MOTARDS;1400;Tous les jours;56000;GSX;SUZUKI;Roadster;Garage individuel (ou box privatif);Pour les trajets professionnels;;consultant;Profession libérale et artistique;True
En couple avec enfant(s);Homme;5;11;3;95;50-59 ans;1992;MUTUELLE DES MOTARDS;750;Quelques fois par mois;500;ZEPHYR;KAWASAKI;Roadster;Garage collectif;Pour les loisirs;200;Animateur commercial;Cadre;False
En couple sans enfant;Homme;2;2;0;51;50-59 ans;2007;MUTUELLE DES MOTARDS;1300;Quelques fois par mois;7000;PAN EUROPEAN ABS;HONDA;Routière / GT;Garage individuel (ou box privatif);Pour les loisirs;;Formateur vacataire;Profession intermédiaire;False
Seul(e) avec enfants;Homme;2;5;1;49;50-59 ans;2008;MACIF;1200;Tous les jours;25000;R1200GS ADVENTURE PACK;BMW;Trail / Supermotard;Garage individuel (ou box privatif);Pour les trajets domicile travail;1000;animateur piste education rout;Profession intermédiaire;True
En couple avec enfant(s);Homme;5;1;3;13;60-69 ans;2012;MUTUELLE DES MOTARDS;700;Tous les jours;7000;NC700S;HONDA;Roadster;Garage collectif;Pour les trajets domicile travail;;technicien du spectacle;Cadre;False
En couple avec enfant(s);Homme;3;1;1;59;50-59 ans;2018;MAAF;300;Tous les jours;15000;Yourban ie;Piaggo;Custom;Garage individuel (ou box privatif);Pour les trajets domicile travail;900;chef gerant;Profession intermédiaire;False
En couple avec enfant(s);Homme;3;1;1;76;30-39 ans;2001;MUTUELLE DES MOTARDS;955;Quelques fois par an;500;SPRINT RS;TRIUMPH;Routière / GT;Garage individuel (ou box privatif);Pour les trajets domicile travail;75;Technicien supérieur en acoust;Cadre;False
En couple sans enfant;Homme;2;1;0;55;60-69 ans;2014;MAAF;1200;Quelques fois par semaine;10000;R1200GS ADVENTURE ABS PACK;BMW;Trail / Supermotard;Garage individuel (ou box privatif);Pour les loisirs;500;retraité;Retraité;False
En couple sans enfant;Homme;2;1;0;46;30-39 ans;2011;AMV (ASSURANCE MOTO VERTE);1000;Tous les jours;6000;CB 1000R C-ABS;HONDA;Roadster;;Pour les trajets domicile travail;;monteur structure aéronefs;Ouvrier;False
En couple sans enfant;Homme;2;1;0;92;30-39 ans;2008;MUTUELLE DES MOTARDS;1000;Tous les jours;15000;CBF 1000FA;HONDA;Roadster;Parking privé clos;Pour les trajets domicile travail;;Chef de projet Informatique;Cadre;True
En couple avec enfant(s);Homme;5;1;3;24;50-59 ans;2000;MUTUELLE DES MOTARDS;1000;Quelques fois par mois;1500;RS-V MILLE;APRILIA;Sportive;Autre;Pour les loisirs;;ostéo;Profession libérale et artistique;True
Seul(e) sans enfant;Homme;1;1;0;52;30-39 ans;2010;MUTUELLE DES MOTARDS;650;Quelques fois par mois;5000;ER-6N;KAWASAKI;Roadster;Garage individuel (ou box privatif);Pour les loisirs;500;Enseignant de la conduite;Employé;True
Seul(e) sans enfant;Homme;1;1;0;37;50-59 ans;2014;MUTUELLE DES MOTARDS;800;Quelques fois par semaine;9000;F800GT;BMW;Routière / GT;Garage collectif;Pour les loisirs;1400;dessinateur détude;Employé;False
En couple sans enfant;Homme;2;2;0;78;60-69 ans;2019;MUTUELLE DES MOTARDS;1000;Tous les jours;7000;AFRICA-TWIN;HONDA;Routière / GT;Parking privé clos;Pour les trajets domicile travail;;medecin;Cadre;True
En couple avec enfant(s);Homme;3;4;1;38;40-49 ans;2010;AMV (ASSURANCE MOTO VERTE);125;Quelques fois par semaine;4000;CB-F;HONDA;Sportive;Garage individuel (ou box privatif);Pour les trajets domicile travail;200;chef atelier automobile;Cadre;True
En couple avec enfant(s);Homme;5;1;3;54;40-49 ans;2014;AMV (ASSURANCE MOTO VERTE);1730;Quelques fois par mois;3000;JUDGE;VICTORY;Custom;Garage individuel (ou box privatif);Pour les loisirs;1000;projeteur automobile;Employé;False
En couple avec enfant(s);Homme;3;3;1;60;50-59 ans;2004;MUTUELLE DES MOTARDS;1000;Quelques fois par semaine;7500;SCRAMBLER V2;VOXAN;Roadster;Garage individuel (ou box privatif);Pour les loisirs;350;agent SNCF;Employé;False
En couple sans enfant;Homme;2;1;0;44;Moins de 30 ans;2009;AXA;650;Quelques fois par mois;5000;ER-6N;KAWASAKI;Roadster;Garage individuel (ou box privatif);Pour les loisirs;;Ingénieur En Electronique;Cadre;False
En couple sans enfant;Homme;2;2;0;69;60-69 ans;2016;MUTUELLE DES MOTARDS;650;Quelques fois par mois;4000;VERSYS TOURER+ 35KW;KAWASAKI;Roadster;Garage individuel (ou box privatif);Pour les loisirs;600;superviseur en téléphonie mobi;Employé;False
En couple avec enfant(s);Homme;3;1;1;93;60-69 ans;2007;MUTUELLE DES MOTARDS;1200;Tous les jours;12000;R1200GS PACK + ASC;BMW;Trail / Supermotard;Garage individuel (ou box privatif);Pour les trajets domicile travail;400;Pompier;Employé;False
En couple sans enfant;Homme;2;1;0;25;60-69 ans;2014;MUTUELLE DES MOTARDS;1300;Quelques fois par semaine;12000;FJR 1300AE;YAMAHA;Routière / GT;Garage individuel (ou box privatif);Pour les loisirs;1700;Retraité de lenseignement;Retraité;True
Seul(e) sans enfant;Homme;1;1;0;76;40-49 ans;2018;MUTUELLE DES MOTARDS;1400;Quelques fois par mois;8000;ZZR PACK PERFORMANCE SP (FULL);KAWASAKI;Routière / GT;Garage individuel (ou box privatif);Pour les loisirs;;operateur;Employé;False
Seul(e) sans enfant;Homme;1;1;0;13;60-69 ans;2013;AXA;1190;Quelques fois par semaine;6000;Adventure;KTM;Scooter;Garage individuel (ou box privatif);Pour les loisirs;400;Retraité;Retraité;False
En couple avec enfant(s);Femme;4;2;2;73;40-49 ans;2000;MUTUELLE DES MOTARDS;600;Quelques fois par an;2500;FZS FAZER;YAMAHA;Roadster;Garage individuel (ou box privatif);Pour les loisirs;1000;professeure de français;Employé;False
En couple sans enfant;Homme;2;2;0;1;60-69 ans;2007;MUTUELLE DES MOTARDS;1200;Quelques fois par semaine;8000;K1200GT PACK PREMIUM;BMW;Routière / GT;Garage individuel (ou box privatif);Pour les loisirs;800;agriculteur;Retraité;False
En couple sans enfant;Homme;2;1;0;59;60-69 ans;2014;AXA;1300;Quelques fois par mois;17000;CTX;HONDA;Routière / GT;Garage individuel (ou box privatif);Pour les loisirs;1000;retraité;Retraité;False
En couple avec enfant(s);Homme;3;1;1;33;30-39 ans;2009;MUTUELLE DES MOTARDS;800;Quelques fois par semaine;6000;F800ST;BMW;Routière / GT;Garage individuel (ou box privatif);Pour les loisirs;;Vérificateur foncier;Employé;True
En couple avec enfant(s);Homme;5;4;3;87;60-69 ans;1971;MUTUELLE DES MOTARDS;500;Quelques fois par mois;1000;CB500F (< 1980);HONDA;Roadster;Garage individuel (ou box privatif);Pour les loisirs;500;retaité;Retraité;False
En couple avec enfant(s);Homme;4;4;2;34;60-69 ans;2011;MUTUELLE DES MOTARDS;800;Tous les jours;17000;FZ8 SP-R ABS;YAMAHA;Roadster;Parking privé clos;Pour les loisirs;600;Responsable Unité Informatique;Cadre;False
En couple sans enfant;Homme;2;1;0;95;60-69 ans;2019;MACIF;1200;Quelques fois par mois;7000;R1200R;BMW;Roadster;Garage individuel (ou box privatif);Pour les loisirs;300;rertraité;Retraité;False
En couple avec enfant(s);Homme;4;1;2;44;50-59 ans;2019;AMF;1600;Tous les jours;12000;K1600GT SPORT (FULL);BMW;Routière / GT;Garage individuel (ou box privatif);Pour les trajets domicile travail;600;Responsable Service Hygiène - Inspecteur de salubrité;Cadre;False
En couple avec enfant(s);Homme;4;1;2;80;30-39 ans;2018;AMV (ASSURANCE MOTO VERTE);1100;Quelques fois par semaine;3500;SCRAMBLER;DUCATI;Roadster;Garage individuel (ou box privatif);Pour les trajets domicile travail;500;Chef de cuisine;Employé;False
En couple avec enfant(s);Homme;5;1;3;50;50-59 ans;2016;MUTUELLE DES MOTARDS;1200;Quelques fois par semaine;11000;R1200RS (FULL);BMW;Routière / GT;Garage individuel (ou box privatif);Pour les loisirs;1000;AGENT SNCF;Employé;True
En couple avec enfant(s);Homme;3;1;1;94;50-59 ans;2018;MAAF;1200;Tous les jours;8000;R1200GS ABS EXCLUSIVE PACK;BMW;Trail / Supermotard;Garage collectif;Pour les trajets domicile travail;500;Chel de projet;Cadre;False
Seul(e) sans enfant;Homme;1;3;0;38;50-59 ans;1995;MUTUELLE DES MOTARDS;500;Quelques fois par mois;2000;CBR 500R;HONDA;Roadster;Garage individuel (ou box privatif);Pour les loisirs;500;Specialiste Supply Chain;Employé;True
En couple avec enfant(s);Homme;4;1;2;67;50-59 ans;2002;MATMUT;1300;Quelques fois par mois;3500;FJR;YAMAHA;Routière / GT;Garage individuel (ou box privatif);Pour les loisirs;;Ingenieur;Cadre;True
En couple avec enfant(s);Homme;4;1;2;91;50-59 ans;2004;MUTUELLE DES MOTARDS;850;Tous les jours;6000;R850RT;BMW;Routière / GT;;Pour les trajets domicile travail;200;technicien;Cadre;False
En couple avec enfant(s);Homme;3;1;1;64;50-59 ans;2013;GENERALI;1200;Quelques fois par semaine;15000;R1200GS ABS  PACK;BMW;Trail / Supermotard;Garage individuel (ou box privatif);Pour les loisirs;3000;Employé de Banque;Cadre;True
En couple sans enfant;Homme;2;1;0;34;60-69 ans;2015;MATMUT;1200;Quelques fois par mois;5000;R1200R ABS (FULL);BMW;Roadster;Garage individuel (ou box privatif);Pour les loisirs;;Fonctionnaire de Police;Retraité;False
Seul(e) sans enfant;Homme;1;3;0;59;60-69 ans;2000;MUTUELLE DES MOTARDS;650;Quelques fois par semaine;3000;TRANSALP;HONDA;Trail / Supermotard;Garage individuel (ou box privatif);Pour les loisirs;800;ingénieur;Retraité;True
En couple sans enfant;Homme;2;2;0;94;60-69 ans;2008;MUTUELLE DES MOTARDS;700;Tous les jours;8000;DEAUVILLE ABS;HONDA;Routière / GT;Garage individuel (ou box privatif);Pour les trajets domicile travail;800;réalisateur;Profession libérale et artistique;False
En couple avec enfant(s);Homme;3;1;1;30;40-49 ans;2004;MACIF;650;Tous les jours;5500;DEAUVILLE;HONDA;Routière / GT;Parking privé clos;Pour les trajets domicile travail;;Livreur employé polyvalent;Employé;False
En couple sans enfant;Homme;2;1;0;17;50-59 ans;2010;MUTUELLE DES MOTARDS;800;Quelques fois par mois;3000;FAZER8 ABS;YAMAHA;Roadster;Garage individuel (ou box privatif);Pour les loisirs;500;Responsable Pédagogique;Profession intermédiaire;False
Seul(e) sans enfant;Homme;1;1;0;33;30-39 ans;2006;MAAF;650;Tous les jours;8000;ER-6N;KAWASAKI;Roadster;Parking privé clos;Pour les loisirs;850;Chargé de communication;Cadre;False
En couple avec enfant(s);Homme;3;1;1;63;30-39 ans;2019;AXA;1000;Quelques fois par mois;3000;CB 1000RA+ ABS;HONDA;Roadster;Garage individuel (ou box privatif);Pour les loisirs;1000;Policier;Employé;False
En couple sans enfant;Homme;2;2;0;87;60-69 ans;2010;MACIF;1400;Tous les jours;10000;ZZR ABS;KAWASAKI;Routière / GT;Garage individuel (ou box privatif);Pour les loisirs;500;retraité;Retraité;False
En couple avec enfant(s);Homme;3;1;1;30;60-69 ans;2003;MUTUELLE DES MOTARDS;1150;Quelques fois par mois;4000;R1150GS ADVENTURE ABS;BMW;Trail / Supermotard;Garage individuel (ou box privatif);Pour les loisirs;100;Chef déquipe;Ouvrier;False
En couple avec enfant(s);Homme;3;1;1;59;50-59 ans;2010;MUTUELLE DES MOTARDS;1200;Quelques fois par semaine;4000;R1200RT;BMW;Roadster;Garage individuel (ou box privatif);Pour les trajets domicile travail;300;Technicien bureau détude;Employé;False
En couple sans enfant;Homme;2;1;0;75;Moins de 30 ans;2015;MACIF;1000;Tous les jours;32000;V-STROM ABS WINTER EDITION;SUZUKI;Trail / Supermotard;Garage individuel (ou box privatif);Pour les loisirs;3000;Chauffeur de bus;Employé;False
En couple avec enfant(s);Homme;4;2;2;12;40-49 ans;2006;MAAF;1200;Quelques fois par semaine;3000;BANDIT-S;SUZUKI;Roadster;Garage individuel (ou box privatif);Pour les trajets domicile travail;;Assistant Social;Cadre;False
En couple avec enfant(s);Homme;3;2;1;51;60-69 ans;2003;MUTUELLE DES MOTARDS;1200;Quelques fois par semaine;10000;ZRX-S;KAWASAKI;Roadster;Garage individuel (ou box privatif);Pour les loisirs;500;Agent SNCF;Retraité;True
Seul(e) sans enfant;Homme;1;2;0;76;30-39 ans;1985;AMV (ASSURANCE MOTO VERTE);125;Quelques fois par an;2000;SR;YAMAHA;Custom;Garage individuel (ou box privatif);Pour les loisirs;500;Informaticien;Cadre;False
En couple avec enfant(s);Homme;4;4;2;92;50-59 ans;2018;AXA;750;Tous les jours;10000;V7 III;MOTO GUZZI;Roadster;Parking privé clos;Pour les trajets domicile travail;500;Expert en automobile;Cadre;False
En couple avec enfant(s);Homme;4;2;2;33;50-59 ans;2009;MAAF;1200;Tous les jours;25000;R1200RT;BMW;Routière / GT;Garage individuel (ou box privatif);Pour les trajets domicile travail;1500;conducteur receveur;Employé;True
Seul(e) sans enfant;Homme;1;1;0;69;50-59 ans;2005;AXA;1800;Quelques fois par mois;5000;GOLD WING 30TH;HONDA;Routière / GT;Garage individuel (ou box privatif);Pour les loisirs;400;enseignant;Cadre;False
En couple sans enfant;Homme;2;2;0;44;70 et plus;2013;MACIF;125;Quelques fois par semaine;4000;DUKE;KTM;Roadster;Garage individuel (ou box privatif);Pour les loisirs;;RETRAITÉ;Retraité;False
Seul(e) avec enfants;Homme;2;2;1;34;60-69 ans;2011;MACIF;800;Quelques fois par semaine;8000;FAZER8;YAMAHA;Roadster;Garage individuel (ou box privatif);Pour les loisirs;1000;mecanicien poids lourds;Retraité;False
Seul(e) sans enfant;Homme;1;1;0;28;30-39 ans;2007;MUTUELLE DES MOTARDS;1300;Tous les jours;25000;"GSX-R ""HAYABUSA"" LIMITED";SUZUKI;Routière / GT;Parking privé clos;Pour les trajets domicile travail;4695;Technicien de maintenance;Employé;False
En couple sans enfant;Homme;2;1;0;88;60-69 ans;1999;MUTUELLE DES MOTARDS;1100;Quelques fois par semaine;15000;PAN EUROPEAN ABS-TCS;HONDA;Routière / GT;Garage individuel (ou box privatif);Pour les trajets domicile travail;1000;enseignant en conduite routièr;Artisan, commerçant assimilé;True
En couple sans enfant;Homme;2;1;0;91;60-69 ans;2013;MACIF;1300;Tous les jours;12000;FJR 1300AE;YAMAHA;Routière / GT;Garage individuel (ou box privatif);Pour les loisirs;500;Retraité;Retraité;False
En couple avec enfant(s);Homme;3;1;1;10;40-49 ans;2017;AMV (ASSURANCE MOTO VERTE);1290;Quelques fois par mois;6000;SUPERDUKE GT;KTM;Roadster;Garage individuel (ou box privatif);Pour les loisirs;;Technicien;Ouvrier;False
En couple avec enfant(s);Homme;3;2;1;89;40-49 ans;1997;GROUPAMA;750;Quelques fois par mois;3000;VFR-F;HONDA;Routière / GT;Garage individuel (ou box privatif);Pour les loisirs;300;Chargé daffaires;Employé;False
En couple avec enfant(s);Homme;3;2;1;64;50-59 ans;2004;CLUB 14;750;Quelques fois par semaine;3000;ZR-7 S;KAWASAKI;Roadster;Garage individuel (ou box privatif);Pour les trajets domicile travail;;Aide-Soignant;Employé;True
Seul(e) sans enfant;Homme;1;1;0;38;Moins de 30 ans;2018;MUTUELLE DES MOTARDS;850;Quelques fois par semaine;20000;MT-09 ABS (FULL);YAMAHA;Roadster;Garage individuel (ou box privatif);Pour les loisirs;200;technicien chimiste;Employé;False
Autre;Femme;2;1;0;25;Moins de 30 ans;2015;MAAF;821;Quelques fois par semaine;5000;MONSTER;DUCATI;Roadster;Garage individuel (ou box privatif);Pour les loisirs;;Pas d activite;En recherche demploi;False
En couple sans enfant;Homme;2;2;0;6;60-69 ans;2009;GMF;125;Quelques fois par semaine;1000;SCOOTER;MOTOBECANE;Scooter;Parking privé clos;Pour les loisirs;500;Cadre informatique;Retraité;False
Seul(e) sans enfant;Homme;1;1;0;28;50-59 ans;2013;MUTUELLE DES MOTARDS;50;Tous les jours;10000;KISBEE;PEUGEOT;Scooter;Garage individuel (ou box privatif);Pour les trajets domicile travail;300;jardinier;Employé;False
En couple avec enfant(s);Homme;4;3;2;42;40-49 ans;2009;MUTUELLE DES MOTARDS;1200;Quelques fois par mois;10000;R1200GS ABS;BMW;Trail / Supermotard;Garage individuel (ou box privatif);Pour les loisirs;;Commerçant;Artisan, commerçant assimilé;False
En couple sans enfant;Homme;2;2;0;42;40-49 ans;2014;MAAF;1200;Quelques fois par semaine;10000;R1200GS ADVENTURE ABS;BMW;Trail / Supermotard;Garage individuel (ou box privatif);Pour les trajets domicile travail;500;conducteur routier;Employé;False
Seul(e) sans enfant;Homme;1;3;0;2;50-59 ans;2009;MUTUELLE DES MOTARDS;1200;Quelques fois par semaine;10000;STELVIO 4V;MOTO GUZZI;Trail / Supermotard;Garage individuel (ou box privatif);Pour les loisirs;800;chauffeur poid lourd;Ouvrier;False
En couple sans enfant;Homme;2;4;0;33;40-49 ans;2011;MUTUELLE DES MOTARDS;800;Tous les jours;15000;VFR-F V-TEC ABS;HONDA;Routière / GT;Garage individuel (ou box privatif);Pour les loisirs;;MONITEUR EDUCATEUR;Profession intermédiaire;False
En couple avec enfant(s);Homme;3;1;1;38;30-39 ans;2010;MUTUELLE DES MOTARDS;650;Quelques fois par semaine;10000;BANDIT-N;SUZUKI;Roadster;;Pour les loisirs;;chef dequipe travaux publique;Ouvrier;True
En couple avec enfant(s);Homme;4;1;2;5;50-59 ans;1989;MUTUELLE DES MOTARDS;1400;Quelques fois par mois;7000;INTRUDER (VS);SUZUKI;Custom;Garage individuel (ou box privatif);Pour les loisirs;250;Pilote pour convois exceptionnels;Employé;False
En couple avec enfant(s);Homme;4;3;2;92;40-49 ans;2016;MUTUELLE DES MOTARDS;1200;Quelques fois par semaine;8000;MULTISTRADA S DVT 112KW;DUCATI;Roadster;Garage individuel (ou box privatif);Pour les loisirs;250;POLICIER MOTOCYCLISTE;Employé;True
En couple avec enfant(s);Homme;4;1;2;1;50-59 ans;2011;MUTUELLE DES MOTARDS;800;Quelques fois par semaine;7000;TIGER XR;TRIUMPH;Roadster;Parking privé clos;Pour les trajets domicile travail;500;Informaticien;Cadre;False
En couple avec enfant(s);Homme;3;3;1;88;50-59 ans;2004;MUTUELLE DES MOTARDS;1200;Quelques fois par mois;6000;R1200GS ABS  PACK;BMW;Trail / Supermotard;Garage individuel (ou box privatif);Pour les loisirs;;directeur achats;Cadre;True
En couple sans enfant;Homme;2;5;0;32;50-59 ans;2002;CLUB 14;1300;Quelques fois par mois;4000;PAN EUROPEAN ABS;HONDA;Routière / GT;Garage individuel (ou box privatif);Pour les loisirs;150;agriculteur;Agriculteur exploitant;False
En couple avec enfant(s);Homme;4;1;2;95;30-39 ans;2010;MAIF;300;Tous les jours;15000;MP3 LT;PIAGGIO;Scooter;Voie publique;Pour les trajets domicile travail;1000;cadre;Cadre;False
En couple sans enfant;Homme;2;2;0;38;50-59 ans;2001;MUTUELLE DES MOTARDS;1000;Quelques fois par mois;6000;VTR SP1;HONDA;Sportive;Garage individuel (ou box privatif);Pour les loisirs;550;Agent immobilier;Cadre;False
En couple sans enfant;Homme;2;3;0;93;40-49 ans;2010;MAIF;1000;Tous les jours;16000;CBF 1000FA;HONDA;Roadster;Parking privé clos;Pour les trajets domicile travail;3000;informaticien;Cadre;False
En couple sans enfant;Homme;2;2;0;33;50-59 ans;2015;MUTUELLE DES MOTARDS;1400;Quelques fois par mois;10000;CALIFORNIA TOURING SE;MOTO GUZZI;Routière / GT;Garage individuel (ou box privatif);Pour les loisirs;1000;Expert Informatique;Cadre;False
En couple avec enfant(s);Homme;3;1;1;21;40-49 ans;2012;AMV (ASSURANCE MOTO VERTE);1200;Quelques fois par mois;2000;R1200R ABS +PACK;BMW;Roadster;Parking privé clos;Pour les trajets domicile travail;;Ingénieur Production;Cadre;False
Seul(e) avec enfants;Homme;3;3;2;24;60-69 ans;2009;MUTUELLE DES MOTARDS;750;Quelques fois par mois;10000;TOURIST DELUXE SIDE-CAR;URAL - OURAL;Side-car / Trike;Garage individuel (ou box privatif);Pour les loisirs;1500;Postier;Retraité;False
En couple avec enfant(s);Homme;3;1;1;84;40-49 ans;2003;MUTUELLE DES MOTARDS;600;Tous les jours;8000;TT-RE;YAMAHA;Tout terrain (Trial,  Enduro, Cross);Parking privé clos;Pour les trajets domicile travail;150;CHAUDRONNIER;Ouvrier;False
En couple avec enfant(s);Homme;3;1;1;6;50-59 ans;2010;PACIFICA (CREDIT AGRICOLE);660;Quelques fois par semaine;7000;XT-Z TENERE;YAMAHA;Trail / Supermotard;Garage individuel (ou box privatif);Pour les trajets domicile travail;;technicien;Profession intermédiaire;False
En couple sans enfant;Homme;2;1;0;69;60-69 ans;2014;MUTUELLE DES MOTARDS;1000;Quelques fois par semaine;6000;VERSYS GRAND TOURER;KAWASAKI;Roadster;Garage individuel (ou box privatif);Pour les loisirs;;médecin;Profession libérale et artistique;False
En couple avec enfant(s);Homme;5;2;3;54;40-49 ans;2016;MACIF;700;Quelques fois par semaine;10000;MT-07 ABS;YAMAHA;Roadster;Garage individuel (ou box privatif);Pour les trajets domicile travail;1000;Formateur Sports Moto;Employé;False
En couple avec enfant(s);Homme;4;1;2;31;60-69 ans;2019;MUTUELLE DES MOTARDS;750;Quelques fois par mois;6000;V7 III MILANO;MOTO GUZZI;Custom;Parking privé clos;Pour les loisirs;400;Rotativiste;Retraité;False
En couple avec enfant(s);Homme;4;2;2;59;30-39 ans;2008;MACIF;1000;Quelques fois par an;1500;XB9-SX LIGHTNING CITY X;BUELL;Roadster;Garage individuel (ou box privatif);Pour les loisirs;;Chef de projet;Cadre;False
Seul(e) sans enfant;Homme;1;2;0;75;60-69 ans;2010;MUTUELLE DES MOTARDS;1200;Quelques fois par mois;5000;R1200GS ADVENTURE ABS PACK;BMW;Trail / Supermotard;Garage individuel (ou box privatif);Pour les loisirs;500;Fonctionnaire La Poste;Retraité;False
En couple sans enfant;Homme;2;1;0;75;30-39 ans;2009;MUTUELLE DES MOTARDS;1200;Quelques fois par semaine;3000;R1200R;BMW;Roadster;Parking privé clos;Pour les trajets domicile travail;150;enseignant du secondaire;Profession intermédiaire;False
En couple sans enfant;Femme;2;2;0;35;30-39 ans;2009;CLUB 14;600;Quelques fois par semaine;10000;XJ6 ABS;YAMAHA;Roadster;Garage individuel (ou box privatif);Pour les loisirs;;Employé;Employé;False
En couple sans enfant;Homme;2;1;0;22;50-59 ans;2012;MAAF;1250;Quelques fois par mois;15000;GSX-F GRAND TOURING EDITION;SUZUKI;Routière / GT;Garage individuel (ou box privatif);Pour les loisirs;200;monteur outilleur;Ouvrier;False
En couple avec enfant(s);Femme;4;1;2;33;40-49 ans;2015;MUTUELLE DES MOTARDS;700;Quelques fois par mois;15000;F700GS;BMW;Roadster;Garage individuel (ou box privatif);Pour les loisirs;;assistante maternelle;Employé;False
En couple sans enfant;Homme;2;1;0;33;50-59 ans;2012;AGPM;1200;Tous les jours;12000;R1200GS ABS;BMW;Trail / Supermotard;Garage collectif;Pour les trajets domicile travail;150;INFIRMIER;Profession intermédiaire;True
